"NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"Marcus Sasser","Det","G","23.6","71","19","19.9","14.9","66","0.879","272","0.474","240","0.375","0.516","0.542","8.3","1.8","3.3","0.6","0.2","1.3","10","11.6","13.3","7.7","108.3","115.3"
"Kyle Lowry","Mia","G","38.1","37","28","13.4","17.7","42","0.833","81","0.506","161","0.385","0.554","0.582","8.2","3.5","4","1.1","0.4","1.4","11.6","12.2","15.6","6.9","115.8","105.7"
"Josh Green","Dal","G","23.4","57","26.4","13.1","13.8","57","0.684","187","0.572","187","0.385","0.575","0.588","8.2","3.2","2.3","0.8","0.2","1.1","11.5","10.5","13.8","5.9","115.3","112.4"
"Isaiah Joe","Okc","G","24.8","78","18.5","16.7","8.8","52","0.865","132","0.568","353","0.416","0.609","0.626","8.2","2.3","1.3","0.6","0.3","0.6","10.5","9.4","11.7","6.3","120.8","111.7"
"Ziaire Williams","Mem","F","22.6","51","20.3","19.7","14.9","75","0.827","189","0.487","189","0.307","0.474","0.511","8.2","3.5","1.5","0.7","0.2","1.3","11.8","9.7","13.2","6.9","98.6","109.6"
"Kelly Olynyk","Uta","F-C","33","50","20.4","15.6","23.9","95","0.842","174","0.626","84","0.429","0.632","0.677","8.1","5.1","4.4","0.7","0.2","1.6","13.2","12.5","17.6","11.1","129.2","107.9"
"Grant Williams","Dal","F","25.4","47","26.4","13.6","14.3","55","0.745","107","0.486","210","0.376","0.538","0.56","8.1","3.6","1.7","0.5","0.6","1.1","11.7","9.9","13.4","5.6","110","108.7"
"Moses Moody","Gol","G","21.9","66","17.5","18.4","9.5","93","0.785","220","0.555","200","0.36","0.548","0.578","8.1","3","0.9","0.6","0.4","0.7","11","8.9","11.9","6.4","116.4","110.9"
"Walker Kessler","Uta","C","22.7","64","23.3","12.8","15.9","93","0.602","331","0.68","19","0.211","0.66","0.663","8.1","7.5","0.9","0.5","2.4","1","15.6","9","16.5","6.5","125.2","112.5"
"Royce O'Neale","Pho","F","30.9","30","25.1","13.9","9.3","13","0.692","57","0.509","157","0.376","0.549","0.555","8.1","5.2","2.7","0.9","0.5","0.7","13.3","10.9","16.1","7.7","118.6","109.1"
"Derrick Rose","Mem","G","35.5","24","16.6","22.4","15.8","27","0.889","124","0.492","41","0.366","0.506","0.54","8","1.9","3.3","0.3","0.1","1.3","9.8","11.2","13.1","8.9","108.7","115.1"
